,Date,Annee,Mois,Jour,jour_sem,Code INSEE région,Consommation (MW),jour férié,Région,Température (°C),PERIODE,Prix
178,2013-01-15,2013,1,15,1,84,256960.0,0,Auvergne-Rhône-Alpes,0.0,2013-01,14.4019
179,2013-01-15,2013,1,15,1,93,162674.0,0,Provence-Alpes-Côte d'Azur,1.0,2013-01,14.4019
180,2013-01-16,2013,1,16,2,11,305254.0,0,Île-de-France,-2.0,2013-01,14.4019
181,2013-01-16,2013,1,16,2,24,81001.0,0,Centre-Val de Loire,0.0,2013-01,14.4019
182,2013-01-16,2013,1,16,2,27,84994.0,0,Bourgogne-Franche-Comté,-1.0,2013-01,14.4019
183,2013-01-16,2013,1,16,2,28,116862.0,0,Normandie,0.0,2013-01,14.4019
184,2013-01-16,2013,1,16,2,32,198664.0,0,Hauts-de-France,-3.0,2013-01,14.4019
185,2013-01-16,2013,1,16,2,44,176641.0,0,Grand Est,-2.0,2013-01,14.4019
186,2013-01-16,2013,1,16,2,52,110291.0,0,Pays de la Loire,2.0,2013-01,14.4019
187,2013-01-16,2013,1,16,2,53,88898.0,0,Bretagne,3.0,2013-01,14.4019
188,2013-01-16,2013,1,16,2,75,169762.0,0,Nouvelle-Aquitaine,3.0,2013-01,14.4019
189,2013-01-16,2013,1,16,2,76,153962.0,0,Occitanie,2.0,2013-01,14.4019
190,2013-01-16,2013,1,16,2,84,255580.0,0,Auvergne-Rhône-Alpes,-1.0,2013-01,14.4019
191,2013-01-16,2013,1,16,2,93,165675.0,0,Provence-Alpes-Côte d'Azur,1.0,2013-01,14.4019
192,2013-01-17,2013,1,17,3,11,320077.0,0,Île-de-France,-3.0,2013-01,14.4019
193,2013-01-17,2013,1,17,3,24,87065.0,0,Centre-Val de Loire,-3.0,2013-01,14.4019
194,2013-01-17,2013,1,17,3,27,89307.0,0,Bourgogne-Franche-Comté,-3.0,2013-01,14.4019
195,2013-01-17,2013,1,17,3,28,118722.0,0,Normandie,0.0,2013-01,14.4019
196,2013-01-17,2013,1,17,3,32,209080.0,0,Hauts-de-France,-5.0,2013-01,14.4019
197,2013-01-17,2013,1,17,3,44,181655.0,0,Grand Est,-3.0,2013-01,14.4019
198,2013-01-17,2013,1,17,3,52,118471.0,0,Pays de la Loire,0.0,2013-01,14.4019
199,2013-01-17,2013,1,17,3,53,94958.0,0,Bretagne,1.0,2013-01,14.4019
200,2013-01-17,2013,1,17,3,75,179860.0,0,Nouvelle-Aquitaine,-1.0,2013-01,14.4019
201,2013-01-17,2013,1,17,3,76,160833.0,0,Occitanie,0.0,2013-01,14.4019
202,2013-01-17,2013,1,17,3,84,272249.0,0,Auvergne-Rhône-Alpes,-3.0,2013-01,14.4019
203,2013-01-17,2013,1,17,3,93,172930.0,0,Provence-Alpes-Côte d'Azur,0.0,2013-01,14.4019
204,2013-01-18,2013,1,18,4,11,326532.0,0,Île-de-France,-3.0,2013-01,14.4019
205,2013-01-18,2013,1,18,4,24,89027.0,0,Centre-Val de Loire,-1.0,2013-01,14.4019
206,2013-01-18,2013,1,18,4,27,88408.0,0,Bourgogne-Franche-Comté,-3.0,2013-01,14.4019
207,2013-01-18,2013,1,18,4,28,125101.0,0,Normandie,-2.0,2013-01,14.4019
208,2013-01-18,2013,1,18,4,32,207564.0,0,Hauts-de-France,-3.0,2013-01,14.4019
209,2013-01-18,2013,1,18,4,44,177504.0,0,Grand Est,-2.0,2013-01,14.4019
